,gene,ratio,snv_count,intersections_count
0,A0A023HHK9_HUMAN,0.038461538461538464,26,1
1,A0A126GW21_HUMAN,0.1111111111111111,27,3
2,A2NVP9_HUMAN,0.038922155688622756,668,26
3,A4_HUMAN,0.0,1,0
4,ADNP_HUMAN,1.0,1,1
5,AEBP2_HUMAN,0.0,2,0
6,AFF1_HUMAN,0.22429906542056074,107,24
7,AFF4_HUMAN,0.45161290322580644,31,14
8,AGO1_HUMAN,0.0,2,0
9,AGO2_HUMAN,0.12568306010928962,183,23
10,AHRR_HUMAN,0.09090909090909091,11,1
11,AHR_HUMAN,0.10818713450292397,684,74
12,ANDR_HUMAN,0.06228091627944893,24534,1528
13,ANM1_HUMAN,0.38,50,19
14,AP2A_HUMAN,0.10615608337372757,2063,219
15,AP2C_HUMAN,0.15789473684210525,209,33
16,ARI1A_HUMAN,0.14218009478672985,422,60
17,ARI1B_HUMAN,0.032036613272311214,1311,42
18,ARI3A_HUMAN,0.10416666666666667,48,5
19,ARI4B_HUMAN,0.4482758620689655,87,39
20,ARID2_HUMAN,0.2716049382716049,81,22
21,ARNT_HUMAN,0.08185840707964602,452,37
22,ASCL1_HUMAN,0.043478260869565216,46,2
23,ASH1L_HUMAN,0.0,7,0
24,ASH2L_HUMAN,1.0,1,1
25,ATF1_HUMAN,0.22448979591836735,147,33
26,ATF2_HUMAN,0.048884165781083955,941,46
27,ATF3_HUMAN,0.09460946094609461,909,86
28,ATF4_HUMAN,0.07364341085271318,258,19
29,ATF7_HUMAN,0.07722007722007722,1036,80
30,ATM_HUMAN,0.0,10,0
31,ATOH1_HUMAN,0.041666666666666664,24,1
32,ATRX_HUMAN,0.1,10,1
33,BACH1_HUMAN,0.15498154981549817,271,42
34,BATF3_HUMAN,0.0,27,0
35,BATF_HUMAN,0.02564102564102564,39,1
36,BC11A_HUMAN,0.13157894736842105,38,5
37,BC11B_HUMAN,0.2084063047285464,571,119
38,BCL3_HUMAN,0.3116883116883117,77,24
39,BCL6B_HUMAN,0.11538461538461539,26,3
40,BCL6_HUMAN,0.21794871794871795,624,136
41,BCLF1_HUMAN,0.25,20,5
42,BCOR_HUMAN,0.06,200,12
43,BDP1_HUMAN,0.0,5,0
44,BHE40_HUMAN,0.06557377049180328,2074,136
45,BMAL1_HUMAN,0.0,2,0
46,BMI1_HUMAN,0.0755813953488372,172,13
47,BRCA1_HUMAN,0.3,10,3
48,BRCA2_HUMAN,0.16666666666666666,204,34
49,BRD2_HUMAN,0.16864864864864865,925,156
50,BRD3_HUMAN,0.19642857142857142,56,11
51,BRD4_HUMAN,0.09311995967741936,7936,739
52,BRD7_HUMAN,0.0,2,0
53,BRD9_HUMAN,0.21428571428571427,14,3
54,C2D1A_HUMAN,0.1509433962264151,53,8
55,CAF1B_HUMAN,0.0,1,0
56,CATA_HUMAN,0.03333333333333333,330,11
57,CAVN1_HUMAN,0.3,10,3
58,CBLL2_HUMAN,1.0,1,1
59,CBP_HUMAN,0.05952380952380952,420,25
60,CBX1_HUMAN,0.4444444444444444,9,4
61,CBX3_HUMAN,0.2222222222222222,9,2
62,CBX5_HUMAN,0.5,2,1
63,CCAR2_HUMAN,0.0,2,0
64,CDC5L_HUMAN,0.15384615384615385,13,2
65,CDK7_HUMAN,0.375,8,3
66,CDK8_HUMAN,0.10682492581602374,1011,108
67,CDK9_HUMAN,0.08108108108108109,1258,102
68,CDN1B_HUMAN,0.1658291457286432,796,132
69,CDX2_HUMAN,0.004966887417218543,604,3
70,CEBPA_HUMAN,0.0845225027442371,1822,154
71,CEBPB_HUMAN,0.04284761587195732,5998,257
72,CEBPD_HUMAN,0.3333333333333333,9,3
73,CEBPG_HUMAN,0.18781725888324874,394,74
74,CEBPZ_HUMAN,0.0,1,0
75,CENPA_HUMAN,0.04838709677419355,310,15
76,CENPT_HUMAN,0.0,2,0
77,CHAP1_HUMAN,0.04878048780487805,41,2
78,CHD1_HUMAN,0.09836065573770492,61,6
79,CHD2_HUMAN,0.3939393939393939,33,13
80,CHD4_HUMAN,0.5,2,1
81,CHD7_HUMAN,0.0,8,0
82,CHD8_HUMAN,0.11,200,22
83,CLOCK_HUMAN,0.26744186046511625,258,69
84,CNDH2_HUMAN,0.0,15,0
85,COE1_HUMAN,0.047217537942664416,593,28
86,COE3_HUMAN,0.06842105263157895,190,13
87,COT1_HUMAN,0.11149228130360206,2332,260
88,COT2_HUMAN,0.3157894736842105,38,12
89,CPSF3_HUMAN,0.0,3,0
90,CR3L1_HUMAN,0.18181818181818182,11,2
91,CREB1_HUMAN,0.1380272952853598,3224,445
92,CREB3_HUMAN,0.4,5,2
93,CREB5_HUMAN,0.15384615384615385,13,2
94,CREM_HUMAN,0.3644067796610169,118,43
95,CRTC2_HUMAN,0.125,64,8
96,CSN2_HUMAN,0.18181818181818182,22,4
97,CTBP1_HUMAN,0.09514925373134328,536,51
98,CTCFL_HUMAN,0.06578947368421052,152,10
99,CTCF_HUMAN,0.045218421123462436,37153,1680
100,CTNB1_HUMAN,0.16666666666666666,48,8
101,CUX1_HUMAN,0.0851063829787234,47,4
102,CXXC1_HUMAN,0.2727272727272727,11,3
103,DACH1_HUMAN,0.06557377049180328,61,4
104,DAXX_HUMAN,0.375,8,3
105,DCP1A_HUMAN,1.0,1,1
106,DDIT3_HUMAN,0.07142857142857142,14,1
107,DDX20_HUMAN,0.3181818181818182,22,7
